Scene,Time,Section,Character,Voice,Speaker,Gender,Age,Accent,Timbre,Tone,Pacing,Speed,Words,End Time,State,Audio SFX ASMR Music,Video Prompt,Image Prompt
1,"00:00 - 00:08","THE HOOK","Người dẫn truyện (Nam)","Trong cuộc sống hối hả, lo âu luôn rình rập, vây kín tâm hồn ta. Liệu có lối thoát nào cho những bất an ấy, giữa dòng chảy không ngừng của cuộc đời?","Người dẫn truyện (Nam)","MALE","Người đàn ông trung niên 45 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm truyền cảm","Trang nghiêm kính cẩn","Chậm","1.18x","36","7.3s","OFF-SCREEN","Nhạc nền cinematic trầm lắng, tiếng thở dài nhẹ, tiếng thông báo điện thoại liên tục.","[[CLOSE UP SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sitting in a dimly lit modern apartment, his face illuminated by the harsh blue light of a smartphone screen. He is frowning slightly, a clear expression of worry and fatigue. His eyes dart nervously across the screen. A gentle, subtle camera push-in emphasizes his anxious state. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
2,"00:08 - 00:16","THE HOOK","Ni sư từ bi","Chính tánh biết, hay sự tỉnh thức trong từng khoảnh khắc, là chìa khóa mở ra cánh cửa bình an. Nó giúp ta nhận diện mọi cảm xúc, mà không bị cuốn đi đâu cả.","Ni sư từ bi","FEMALE","Ni sư 55 tuổi","SOUTHERN_VIETNAMESE","Giọng nhẹ nhàng thanh thoát","Từ bi an lạc","Chậm","1.18x","36","7.4s","ON-SCREEN","Tiếng chim hót líu lo, tiếng gió xào xạc qua kẽ lá, nhạc thiền 432Hz nhẹ nhàng.","[[MEDIUM SHOT], A serene Vietnamese nun (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, in traditional robes, seated gracefully by a large, sunlit temple window. Her face holds a gentle smile and her eyes convey deep compassion as she gazes outwards. Soft light bathes the scene, highlighting peaceful dust motes in the air. {vkt_asmr_zen, Ethereal light, Lotus & Gold Leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
3,"00:16 - 00:24","THE HOOK","Thầy tuệ giác","Thế giới hiện đại với vô vàn áp lực, khiến tâm ta dễ bị dao động. Tánh biết không phải là trốn tránh, mà là đối diện mọi việc với sự thấu hiểu sâu sắc từ bên trong.","Thầy tuệ giác","MALE","Thầy tuệ giác 70 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm khoan thai","Điềm tĩnh thâm trầm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng chuông chùa ngân vang nhẹ, tiếng lá cây xào xạc, nhạc thiền sâu lắng.","[[WIDE SHOT], An elderly Vietnamese monk (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, in saffron robes, sits in deep meditation beneath a majestic Bodhi tree. The rising sun casts a golden glow, creating long, peaceful shadows. His posture is upright, hands in Dhyana mudra, radiating calm. {vkt_asmr_zen, Ethereal light, ancient_stone_temple}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
4,"00:24 - 00:32","Problem","Người dẫn truyện (Nữ)","Nhiều người nghĩ lo âu là điều không thể tránh khỏi, một phần của cuộc sống. Nhưng nếu ta học cách quan sát nó, ta sẽ thấy rằng lo âu chỉ là những làn sóng trên mặt biển tâm.","Người dẫn truyện (Nữ)","FEMALE","Nữ trung niên 40 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng truyền cảm","Đồng cảm, gợi mở","Chậm","1.18x","40","7.5s","OFF-SCREEN","Tiếng sóng vỗ nhẹ nhàng, nhạc nền êm dịu, tiếng thở đều của biển.","[[MEDIUM SHOT], Gentle ocean waves roll softly onto a sandy beach, reflecting the warm, tranquil colors of a sunset. The water is clear, and the sand is fine. A single, small, smooth pebble is briefly visible as the wave recedes. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
5,"00:32 - 00:40","Problem","Một người đàn ông trẻ","Tôi thường cảm thấy mình bị mắc kẹt trong vòng xoáy suy nghĩ, không thể thoát ra. Mọi thứ cứ luẩn quẩn, lặp đi lặp lại khiến tôi mất đi năng lượng và niềm vui sống.","Một người đàn ông trẻ","MALE","Thanh niên 28 tuổi","SOUTHERN_VIETNAMESE","Giọng trầm ấm","Băn khoăn, tìm kiếm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng mưa rơi nhẹ ngoài cửa sổ, nhạc buồn man mác, tiếng thở dài.","[[MEDIUM SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits by a rain-streaked window, his chin resting on his hand. His gaze is distant and melancholic, reflecting a deep sense of introspection and perhaps sadness. Raindrops gently stream down the windowpane, adding to the somber mood. {vkt_asmr_zen, interior_window_light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
6,"00:40 - 00:48","Problem","Một người phụ nữ trẻ","Đôi khi tôi cảm thấy mình không đủ tốt, không đủ mạnh mẽ để đối phó với những thách thức. Lo lắng về tương lai, về những điều chưa đến làm tôi kiệt sức.","Một người phụ nữ trẻ","FEMALE","Thanh niên 25 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng","Mệt mỏi, cần giúp đỡ","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng gió rít khe khẽ, nhạc nền có chút u buồn, tiếng thở dài thườn thượt.","[[CLOSE UP SHOT], A young woman (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits huddled on a soft sofa, her hands gently clasping her head. Her expression is one of deep sadness and exhaustion, as if carrying a heavy burden. Soft, indirect light illuminates her. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
7,"00:48 - 00:56","Problem","Người dẫn truyện (Nam)","Sự thiếu vắng tánh biết khiến ta lạc lối trong mê cung của những ý nghĩ tiêu cực. Ta không nhận ra rằng mình có sức mạnh để thay đổi, để tìm thấy sự an lạc.","Người dẫn truyện (Nam)","MALE","Người đàn ông trung niên 45 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm truyền cảm","Nhấn mạnh, trầm tư","Chậm","1.18x","38","7.4s","OFF-SCREEN","Tiếng bước chân nhẹ trên lá khô, nhạc nền huyền bí, tiếng côn trùng đêm.","[[WIDE SHOT], A dimly lit, mystical forest path (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, winding deep into ancient woods. Soft, ethereal mist hangs in the air, partially obscuring the dense trees. The path is barely visible, suggesting a journey into the unknown. {vkt_asmr_zen, deep_forest_ambience}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
8,"00:56 - 01:04","Introduction of 'Tánh Biết'","Ni sư từ bi","Tánh biết đơn giản là khả năng nhận thức hiện tại, mà không phán xét. Là lắng nghe tiếng chim hót, cảm nhận hơi thở, biết mình đang làm gì, ở ngay lúc này.","Ni sư từ bi","FEMALE","Ni sư 55 tuổi","SOUTHERN_VIETNAMESE","Giọng nhẹ nhàng thanh thoát","Từ bi, hướng dẫn","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng nước khẽ gợn, tiếng chim hót thanh thoát, nhạc thiền êm dịu.","[[CLOSE UP SHOT], A delicate hand (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, gently touches a young, unfurling lotus leaf on a calm, reflective pond surface. The water is pristine, and the leaf is vibrant green. Soft ripples spread outwards from the touch. {vkt_asmr_zen, Lotus & Gold Leaf, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
9,"01:04 - 01:12","Introduction of 'Tánh Biết'","Thầy tuệ giác","Khi ta thực hành tánh biết, ta không còn bị quá khứ ràng buộc, hay tương lai làm phiền. Ta sống trọn vẹn trong giây phút này, nơi mọi sự thật đều hiển lộ rõ ràng.","Thầy tuệ giác","MALE","Thầy tuệ giác 70 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm khoan thai","Điềm tĩnh thâm trầm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng gió lùa qua mái chùa cổ, tiếng gõ mõ đều đặn, nhạc thiền sâu lắng.","[[CLOSE UP SHOT], An elderly Vietnamese monk (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits in deep meditation, his eyes gently closed. His face is illuminated by a soft, golden light, radiating profound peace and tranquility. The background is softly blurred, emphasizing his serene presence. {vkt_asmr_zen, aura_of_enlightenment, Lotus & Gold Leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
10,"01:12 - 01:20","Introduction of 'Tánh Biết'","Người dẫn truyện (Nữ)","Tánh biết không phải là một kỹ thuật phức tạp, mà là một cách sống. Nó giúp ta gỡ bỏ những tấm màn che phủ, để thấy rõ bản chất thật của mọi sự, của chính mình.","Người dẫn truyện (Nữ)","FEMALE","Nữ trung niên 40 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng truyền cảm","Giải thích, truyền cảm hứng","Chậm","1.18x","39","7.5s","OFF-SCREEN","Tiếng cửa gỗ kẽo kẹt nhẹ nhàng, tiếng chim hót líu lo, nhạc thiền thanh tịnh.","[[MEDIUM SHOT], An ancient, weathered wooden door (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, in a temple setting, slowly creaks open. Beyond it, a vibrant, serene Zen garden with blooming flowers and lush greenery is revealed, bathed in soft sunlight. {vkt_asmr_zen, ancient_stone_temple, deep_forest_ambience}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
11,"01:20 - 01:28","Introduction of 'Tánh Biết'","Một người đàn ông trẻ","Vậy là, chỉ cần chú tâm vào hiện tại, tôi có thể thoát khỏi những suy nghĩ tiêu cực? Nghe có vẻ đơn giản, nhưng tôi chưa bao giờ nghĩ đến cách này để sống tốt hơn.","Một người đàn ông trẻ","MALE","Thanh niên 28 tuổi","SOUTHERN_VIETNAMESE","Giọng trầm ấm","Ngạc nhiên, khai sáng","Chậm","1.18x","39","7.5s","ON-SCREEN","Nhạc nền bay bổng, tiếng chuông gió nhẹ nhàng, tiếng chim hót.","[[CLOSE UP SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, previously anxious, now sits upright, his eyes wide and bright with a newfound sense of hope and understanding. A subtle smile plays on his lips as he gazes into the distance. The lighting is soft and uplifting. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
12,"01:28 - 01:36","Introduction of 'Tánh Biết'","Một người phụ nữ trẻ","Tôi sẽ thử tập tánh biết mỗi ngày. Có lẽ đây chính là con đường tôi đang tìm kiếm, để tâm hồn được thanh thản và vượt qua mọi nỗi lo âu trong cuộc sống.","Một người phụ nữ trẻ","FEMALE","Thanh niên 25 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng","Tin tưởng, quyết tâm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng chuông thiền định nhẹ, tiếng hít thở đều, nhạc nền thanh bình.","[[MEDIUM SHOT], A young woman (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, previously troubled, now sits in a meditation posture on a soft cushion. Her back is straight, hands resting gently on her lap, and her face is serene, reflecting deep concentration and inner peace. She takes a slow, deep breath. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
13,"01:36 - 01:44","Connection to Karma","Người dẫn truyện (Nam)","Tánh biết không chỉ chữa lành tâm hồn, mà còn là cầu nối với luật nhân quả. Mỗi hành động, lời nói, suy nghĩ của ta đều gieo một hạt giống, định hình tương lai sau này.","Người dẫn truyện (Nam)","MALE","Người đàn ông trung niên 45 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm truyền cảm","Trang nghiêm, giáo dục","Chậm","1.18x","39","7.5s","OFF-SCREEN","Tiếng đất vỡ nhẹ, tiếng chồi non vươn lên, nhạc nền huyền diệu, tiếng chuông gió.","[[CLOSE UP SHOT], A tiny seed (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, visibly sprouts from rich, dark soil. A soft, glowing light surrounds the nascent plant, symbolizing the energy of karma and potential. The delicate stem reaches upwards. {vkt_asmr_zen, endothermic_botanics}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
